Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),City,IsCondo,Latitude,Longitude
27611000.0,1.0,1.0,70.0,0.0,Pasig,1,14.588377,121.059897
12245000.0,1.0,1.0,40.0,0.0,Pasig,1,14.575822,121.064324
21737000.0,1.0,1.0,67.0,0.0,Pasig,1,14.575822,121.064324
20577000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
15364000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
21459000.0,1.0,1.0,66.0,0.0,Pasig,1,14.575822,121.064324
12433000.0,1.0,1.0,45.0,0.0,Pasig,1,14.575822,121.064324
21361000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
16411000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
23578000.0,1.0,1.0,67.0,0.0,Pasig,1,14.575822,121.064324
16033000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
26888000.0,1.0,1.0,76.0,0.0,Pasig,1,14.575822,121.064324
16007000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
16076000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
21322000.0,1.0,1.0,66.0,0.0,Pasig,1,14.575822,121.064324
5898000.0,3.0,0.0,66.0,131.0,Tayabas,0,13.962775,121.564527
4592000.0,2.0,0.0,53.0,88.0,Taal,0,13.885835,120.955093
2134000.0,2.0,0.0,36.0,44.0,Taal,0,13.885835,120.955093
8122321.0,2.0,1.0,45.0,0.0,Davao,1,7.0928915,125.6056916
32507000.0,2.0,2.0,104.0,0.0,Pasig,1,14.575822,121.064324
16420000.0,1.0,1.0,57.0,0.0,Pasig,1,14.588882,121.079016
16672000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16172000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
15737000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
15364000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
22153000.0,1.0,1.0,66.0,0.0,Pasig,1,14.575822,121.064324
13227000.0,1.0,1.0,46.0,0.0,Pasig,1,14.575822,121.064324
34033000.0,2.0,2.0,106.0,0.0,Pasig,1,14.575822,121.064324
23554000.0,1.0,1.0,70.0,0.0,Pasig,1,14.575822,121.064324
22973000.0,1.0,1.0,66.0,0.0,Pasig,1,14.575822,121.064324
22061000.0,1.0,1.0,68.0,0.0,Pasig,1,14.575822,121.064324
22089000.0,1.0,1.0,67.0,0.0,Pasig,1,14.575822,121.064324
22047000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
22768000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
33499000.0,2.0,2.0,104.0,0.0,Pasig,1,14.575822,121.064324
11761000.0,1.0,1.0,39.0,0.0,Pasig,1,14.575822,121.064324
12229000.0,1.0,1.0,40.0,0.0,Pasig,1,14.575822,121.064324
16274000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
16076000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
16274000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
16076000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
15601000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16076000.0,1.0,1.0,57.0,0.0,Pasig,1,14.588882,121.079016
16322000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16532000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16042000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16205000.0,1.0,1.0,57.0,0.0,Pasig,1,14.588882,121.079016
16742000.0,1.0,1.0,58.0,0.0,Pasig,1,14.588882,121.079016
15982000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
15560000.0,1.0,1.0,56.0,0.0,Pasig,1,14.588882,121.079016
15562000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
15352000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16420000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
16283000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
15297000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
15560000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
16252000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
15702000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
16283000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
16351000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
15297000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
16076000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
15297000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
16076000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
15695000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
1918427.0,2.0,0.0,38.0,36.0,Trece Martires,0,14.2737173,120.8443843
3071000.0,2.0,0.0,46.0,63.0,Balanga,0,14.666375,120.54822
4382000.0,2.0,0.0,53.0,88.0,Balanga,0,14.666375,120.54822
26856000.0,1.0,1.0,76.0,0.0,Pasig,1,14.575822,121.064324
22595200.0,2.0,2.0,87.0,0.0,Pasig,1,14.583771,121.059675
4328000.0,2.0,0.0,66.0,88.0,Tayabas,0,13.962775,121.564527
9753000.0,5.0,0.0,166.0,156.0,Taal,0,13.885835,120.955093
5390000.0,3.0,0.0,66.0,88.0,Taal,0,13.885835,120.955093
6814000.0,5.0,0.0,100.0,110.0,Taal,0,13.885835,120.955093
5132000.0,2.0,0.0,53.0,99.0,Taal,0,13.885835,120.955093
2673000.0,2.0,0.0,36.0,66.0,Taal,0,13.885835,120.955093
3440000.0,2.0,0.0,50.0,63.0,Malolos,0,14.8743986,120.7973062
15364000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
16283000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
15364000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
25471000.0,2.0,0.0,89.0,0.0,Pasig,1,14.588882,121.079016
15830000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
15762000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16411000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
16392000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16322000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
15492000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
25579000.0,2.0,0.0,89.0,0.0,Pasig,1,14.588882,121.079016
16602000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
16402000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
28695000.0,2.0,0.0,89.0,0.0,Pasig,1,14.588882,121.079016
26849000.0,1.0,1.0,74.0,0.0,Pasig,1,14.588377,121.059897
26840000.0,1.0,1.0,74.0,0.0,Pasig,1,14.588377,121.059897
8830000.0,1.0,0.0,35.0,0.0,Pasig,1,14.588882,121.079016
8830000.0,1.0,0.0,35.0,0.0,Pasig,1,14.588882,121.079016
16382000.0,1.0,1.0,58.0,0.0,Pasig,1,14.588882,121.079016
12546000.0,1.0,1.0,45.0,0.0,Pasig,1,14.575822,121.064324
21828000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
